"@timestamp","destination.ip","destination.port","dns.answers.ttl","dns.header_flags","dns.question.name","source.ip","source.port"
"Oct 19, 2025 @ 20:05:15.219","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 20:05:15.219","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 20:05:15.217","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 20:05:15.216","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 20:04:49.909","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 20:04:49.908","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 20:04:49.906","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 20:04:49.905","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:46:18.795","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:46:18.794","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:46:18.792","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:46:18.791","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:45:41.408","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:45:41.408","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:45:41.406","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:45:41.405","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:32:02.620","224.0.0.252",5355,"-","-","ech-rog","192.168.56.1",60606
"Oct 19, 2025 @ 19:32:02.619","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:32:02.619","ff02::1:3",5355,"-","-","ech-rog","fe80::b6e0:cf17:dce3:e507",60606
"Oct 19, 2025 @ 19:32:02.618","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:32:02.617","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:32:02.616","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:31:28.414","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:31:28.413","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:31:28.411","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:31:28.410","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:23:44.024","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:23:44.023","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:23:44.021","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 19:23:44.021","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:23:42.395","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:23:42.395","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
